analysis_id,m96a7e055px44s6
gene_symbol,Hpca
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_strain,C57BL
gene_accession_id,MGI:1336200
mouse_life_stage,Late adult
parameter_id,MGP_PBI_010_001
pvalue,0.6019783
