parameter_name,Aggression
pvalue,0.3119192
parameter_id,IMPC_CSD_079_001
mouse_strain,C57BL
analysis_id,92j471fyu52e466
gene_accession_id,MGI:1914309
gene_symbol,Ola1
mouse_life_stage,Early adult
