parameter_name,Click-evoked ABR threshold
gene_accession_id,MGI:1916043
parameter_id,IMPC_ABR_002_001
gene_symbol,Rab3gap2
pvalue,0.7912052
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,dp7v6he61y5051k
