mouse_life_stage,E18.5
pvalue,0.3809903
parameter_id,IMPC_IMM_013_001
mouse_strain,C57BL
parameter_name,DN NKT cells
gene_symbol,Zyg11b
analysis_id,s29wcoz2sbig167
gene_accession_id,MGI:2685277
