parameter_id,MGP_BMI_014_001
mouse_strain,C57BL
analysis_id,ms14dxv3f2xm961
gene_symbol,Dmap1
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
gene_accession_id,MGI:1913483
pvalue,0.942368
mouse_life_stage,E9.5
