parameter_id,JAXLA_GRS_010_001
mouse_strain,C57BL
parameter_name,Forelimb grip strength normalised against body weight
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
analysis_id,2cm73cp036d4252
pvalue,0.0760856
mouse_life_stage,E12.5
