analysis_id,6w92x6ef56681pr
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915848
pvalue,0.2989239
gene_symbol,Dnajc8
parameter_name,Zygomatic bone
parameter_id,IMPC_XRY_002_001
