analysis_id,96ih339l8v472ls
mouse_strain,C57BL
gene_accession_id,MGI:109384
gene_symbol,Atf3
mouse_life_stage,Early adult
pvalue,0.4990998
parameter_id,MGP_IMM_078_001
parameter_name,Resting Treg cells - % of CD45+
