analysis_id,8w290b4g49cyz2y
parameter_id,IMPC_ECG_010_001
pvalue,0.4853796
gene_symbol,Arpc2
parameter_name,HRV
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
mouse_strain,129SV
