gene_symbol,Gfi1b
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1276578
parameter_id,M-G-P_007_001_010
analysis_id,0p844r79mk39ey8
pvalue,0.2513309
parameter_name,center - distance
