analysis_id,a0x35vqa5186dro
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
mouse_strain,C57BL
pvalue,0.6267573
gene_symbol,Kcng1
parameter_id,IMPC_IMM_005_002
