gene_symbol,Kifap3
pvalue,0.3293229
parameter_id,IMPC_IMM_069_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:107566
parameter_name,Transitional B Cells (CD21/35 low)
analysis_id,i225kd0j2247987
