analysis_id,46z961o8hv5u0w7
mouse_life_stage,Early adult
pvalue,0.302452
parameter_id,JAX_OFD_013_001
gene_accession_id,MGI:88071
mouse_strain,C57BL
parameter_name,Periphery average speed
gene_symbol,Arnt
