parameter_id,IMPC_CSD_036_001
gene_symbol,Eprs1
analysis_id,72q121bfo6z145e
parameter_name,Startle response
mouse_life_stage,Early adult
gene_accession_id,MGI:97838
mouse_strain,C57BL
pvalue,0.4918699
