analysis_id,3n7se0fe4lc0283
parameter_id,IMPC_HEM_031_001
mouse_life_stage,Early adult
parameter_name,Lymphocyte differential count
pvalue,0.8389217
mouse_strain,C57BL
gene_symbol,Rap2b
gene_accession_id,MGI:1921262
