analysis_id,6010443sbc0gmht
parameter_name,Eosinophils - % of CD45+
pvalue,0.7742245
mouse_strain,C52BL
parameter_id,MGP_IMM_125_001
gene_symbol,Rgs20
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
