parameter_name,Percentage center time
mouse_life_stage,Early adult
analysis_id,7soy0u0i2468901
gene_accession_id,MGI:1914515
pvalue,0.1145834
parameter_id,JAX_OFD_022_001
gene_symbol,Slc39a10
mouse_strain,C57BL
