analysis_id,3mlfc9990dts88v
mouse_strain,C57BL
gene_symbol,Slc45a3
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_003_001
pvalue,0.9142482
parameter_name,Stroke Volume
gene_accession_id,MGI:1922082
