parameter_name,Follicular B Cells (CD21/35+)
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
pvalue,0.2651489
gene_symbol,Slx4ip
parameter_id,IMPC_IMM_067_001
analysis_id,2p88owm7l4c191g
mouse_strain,C57BL
