gene_symbol,Mms22l
mouse_strain,129SV
parameter_id,MGP_IMM_094_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
analysis_id,6s64ith19ms0z7y
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
pvalue,0.304674
