parameter_name,Calcium
analysis_id,15nv4c957d8p1v1
parameter_id,HMGULA_CBC_009_001
gene_accession_id,MGI:2446186
pvalue,0.3725024
mouse_life_stage,Early adult
gene_symbol,Lpgat1
mouse_strain,C57BL
