analysis_id,2h23iq3l08we551
gene_symbol,Alkbh3
mouse_strain,C57BL
parameter_id,IMPC_ECG_004_001
gene_accession_id,MGI:1916363
pvalue,0.7431318
parameter_name,RR
mouse_life_stage,Early adult
