analysis_id,932rkhus35e541f
gene_symbol,Atg4c
gene_accession_id,MGI:2651854
parameter_name,Placenta Morphology
parameter_id,IMPC_GPO_002_001
pvalue,0.9672428
mouse_strain,C57BL
mouse_life_stage,Early adult
