gene_symbol,Morn5
parameter_name,Urea (Blood Urea Nitrogen - BUN)
gene_accession_id,MGI:1922745
analysis_id,3952t4z2r1p45u6
pvalue,0.9014408
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_004_001
