gene_symbol,Etfdh
parameter_name,PP1 startle magnitude
gene_accession_id,MGI:106100
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.240328
analysis_id,n5tj0fyx10o1273
parameter_id,ESLIM_011_001_002
