analysis_id,4wi2p6u5ar371en
pvalue,0.722398
gene_symbol,Dhdds
mouse_life_stage,Early adult
parameter_name,Startle Response
mouse_strain,C57BL
gene_accession_id,MGI:1914672
parameter_id,M-G-P_008_001_013
