gene_symbol,Ahctf1
mouse_strain,C57BL
analysis_id,uxw3cp31wa7wg47
parameter_id,ICS_FEA_019_001
parameter_name,% Freezing duration pre-cue-2
mouse_life_stage,Early adult
gene_accession_id,MGI:1915033
pvalue,0.4601408
