gene_symbol,Arpc2
analysis_id,s3hde982zf3705l
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
parameter_id,MGP_BMI_006_001
pvalue,0.2751177
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
mouse_strain,C57BL
