analysis_id,8823189iuvas653
mouse_life_stage,Early adult
parameter_name,Effector gd T cells - % of gd T cells
parameter_id,MGP_IMM_020_001
gene_accession_id,MGI:2651854
mouse_strain,C57BL
pvalue,0.3766215
gene_symbol,Atg4c
