gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
pvalue,0.5685652
parameter_name,Facial Morphology
parameter_id,IMPC_GEP_017_001
mouse_strain,C57BL
mouse_life_stage,E9.5
analysis_id,ae009p016452q6u
