parameter_id,IMPC_CAL_008_001
parameter_name,Total food intake
gene_symbol,Ppm1j
gene_accession_id,MGI:1919137
mouse_strain,C57BL
pvalue,0.6616603
mouse_life_stage,Early adult
analysis_id,qb2kg2uk826m33b
