parameter_id,IMPC_ABR_008_001
gene_symbol,Ift74
gene_accession_id,MGI:1914944
analysis_id,07185d41m7yov89
mouse_strain,C57BL
pvalue,0.8212741
parameter_name,18kHz-evoked ABR Threshold
mouse_life_stage,Early adult
