analysis_id,40599da9wv81m96
gene_symbol,Bmi1
pvalue,0.5275137
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,Hematocrit
parameter_id,IMPC_HEM_004_001
gene_accession_id,MGI:88174
