parameter_name,White blood cell-count
analysis_id,x92q50w2639q46h
mouse_strain,C57BL
parameter_id,M-G-P_016_001_001
gene_symbol,Trp53rkb
mouse_life_stage,Early adult
pvalue,0.4359602
gene_accession_id,MGI:1914050
