parameter_name,Cleft palate
parameter_id,IMPC_GEP_076_001
mouse_strain,C57BL
gene_symbol,Npbwr1
analysis_id,8lz31mpkaju1apt
pvalue,0.1457236
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
