parameter_name,Shape of vertebrae
gene_accession_id,MGI:1922082
parameter_id,IMPC_XRY_018_001
mouse_life_stage,Early adult
pvalue,0.2091562
gene_symbol,Slc45a3
mouse_strain,C57BL
analysis_id,42824220jeo3t8m
