analysis_id,w0l0a47387o1s82
gene_accession_id,MGI:2677850
pvalue,2.464311e-05
parameter_id,IMPC_ECH_005_001
mouse_life_stage,Early adult
gene_symbol,Abitram
mouse_strain,C58BL
parameter_name,Fractional Shortening
