gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
pvalue,0.3750823
parameter_name,Effector CD4+ T helper cells - % of CD45+
parameter_id,MGP_IMM_073_001
mouse_life_stage,Early adult
analysis_id,7897ph058ifw1t2
mouse_strain,C57BL
