parameter_name,Response amplitude - S
pvalue,0.795949
mouse_strain,C57BL
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
analysis_id,k2k808nbv03197a
parameter_id,IMPC_ACS_006_001
mouse_life_stage,Late adult
