gene_symbol,Zfp683
parameter_id,MGP_CSD_066_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
analysis_id,8b7c9y2l1a93f2j
pvalue,0.9726426
mouse_strain,C57BL
parameter_name,Snout morphology
