analysis_id,ep54w4n4c97zgl5
gene_symbol,Gfi1b
parameter_id,IMPC_HEM_031_001
pvalue,0.2190346
gene_accession_id,MGI:1276578
parameter_name,Lymphocyte differential count
mouse_life_stage,Early adult
mouse_strain,C57BL
