analysis_id,7304nsd8v1g3730
pvalue,0.7083265
gene_symbol,Slc28a2
mouse_life_stage,Early adult
parameter_name,Number of centre entries
gene_accession_id,MGI:1913105
parameter_id,ESLIM_007_001_015
mouse_strain,C57BL
