gene_symbol,Gja10
mouse_strain,C57BL
pvalue,0.6433353
parameter_name,Eosinophils - % of CD45+
gene_accession_id,MGI:1339969
analysis_id,42bpjd1mmig0p5j
parameter_id,MGP_IMM_125_001
mouse_life_stage,Early adult
