gene_symbol,Toporsl
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
pvalue,0.273685
mouse_strain,C57BL
analysis_id,rs708b000ojq998
mouse_life_stage,Early adult
parameter_id,MGP_IMM_027_001
gene_accession_id,MGI:1915524
