gene_symbol,Slx4ip
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
pvalue,0.7434625
parameter_id,IMPC_OFD_017_001
parameter_name,Center average speed
mouse_strain,C57BL
analysis_id,z8wd87k56e205j4
