parameter_name,Center resting time
mouse_life_stage,Early adult
pvalue,0.7924895
gene_accession_id,MGI:105073
parameter_id,JAX_OFD_015_001
gene_symbol,Tnni1
mouse_strain,C57BL
analysis_id,556x057x9op2jf4
