parameter_name,Shape of ribcage
gene_accession_id,MGI:1888742
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7142797
gene_symbol,Extl1
analysis_id,yk69b31h5q064aq
parameter_id,IMPC_XRY_059_001
