analysis_id,552t3c370inl560
parameter_id,IMPC_CBC_058_001
pvalue,0.4479713
gene_symbol,Zfp683
mouse_life_stage,Early adult
mouse_strain,C50BL
parameter_name,Cholesterol ratio
gene_accession_id,MGI:3650254
