gene_symbol,Ift74
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1914944
pvalue,0.8345541
parameter_id,MGP_MLN_072_001
analysis_id,dq0zupoam85q815
mouse_life_stage,Early adult
