gene_symbol,Dnajc5b
mouse_life_stage,Early adult
parameter_name,Latency to center entry
gene_accession_id,MGI:1913576
analysis_id,93k4o97vl642dl2
mouse_strain,C57BL
pvalue,0.03033308
parameter_id,IMPC_OFD_018_001
