gene_symbol,Exd1
parameter_name,Resting CD4+ T helper cells - % of CD45+
analysis_id,zsq06b10rsd936g
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
pvalue,0.2003806
mouse_strain,C57BL
parameter_id,MGP_MLN_067_001
