parameter_name,Glucose response AUC
gene_symbol,Cldn19
analysis_id,03nerw739159097
pvalue,0.1729051
parameter_id,ESLIM_004_001_701
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
mouse_strain,C57BL
