analysis_id,qcu54z1na9i32i4
parameter_id,M-G-P_016_001_005
mouse_strain,C57BL
pvalue,0.05137355
mouse_life_stage,Early adult
parameter_name,Mean-cell-volume
gene_symbol,Golm2
gene_accession_id,MGI:2443129
