analysis_id,50a792f073f26px
parameter_id,MGP_MLN_063_001
gene_symbol,Orc2
gene_accession_id,MGI:1328306
mouse_life_stage,E9.5
pvalue,0.1823463
mouse_strain,C57BL
parameter_name,Total ab T cells - % of CD45+
