analysis_id,6hc84006ow49940
gene_accession_id,MGI:88174
mouse_life_stage,E12.5
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_symbol,Bmi1
mouse_strain,C57BL
parameter_id,MGP_MLN_006_001
pvalue,0.7479431
