parameter_name,Hemorrhage
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
pvalue,0.682368
gene_symbol,Zcchc2
analysis_id,s3g8f4h8g4t7p1g
parameter_id,IMPC_GEO_009_002
mouse_strain,C57BL
