parameter_name,Aspartate aminotransferase
pvalue,0.168052
gene_accession_id,MGI:104640
mouse_strain,C57BL
gene_symbol,Rab17
analysis_id,q1479u2b0947468
parameter_id,IMPC_CBC_012_001
mouse_life_stage,Early adult
