analysis_id,r21shr920d37bo4
gene_accession_id,MGI:1918345
gene_symbol,Kif24
pvalue,0.1274415
mouse_life_stage,Early adult
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_strain,C57BL
parameter_id,MGP_IMM_022_001
