gene_symbol,F2
mouse_strain,C57BL
parameter_id,MGP_IMM_004_001
pvalue,0.1653119
analysis_id,vxme64e5czr51g6
parameter_name,Total CD4+ T cells - % of ab T cells
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
