parameter_name,Glucose response AUC
analysis_id,26159rmzt19g883
mouse_life_stage,E9.5
gene_symbol,Dmap1
parameter_id,ESLIM_004_001_701
gene_accession_id,MGI:1913483
pvalue,0.8107183
mouse_strain,C57BL
