analysis_id,3rav1i6gpb3610r
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
pvalue,0.306571
parameter_id,IMPC_IMM_004_002
mouse_life_stage,Late adult
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
mouse_strain,C57BL
