parameter_name,Corneal opacity
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3522699
analysis_id,9hitar1uegeh47w
pvalue,0.4580032
parameter_id,IMPC_EYE_008_001
gene_symbol,Trpa1
