gene_symbol,Pum1
mouse_strain,C57BL
gene_accession_id,MGI:1931749
analysis_id,8e651b2580bc7w1
pvalue,0.9577867
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_036_001
parameter_name,Eosinophil cell count
