gene_symbol,Npbwr1
parameter_id,IMPC_XRY_024_001
pvalue,0.7032435
mouse_strain,C57BL
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
analysis_id,iwq9y0q2s25u04i
parameter_name,Femur
